"Source","System role","Read-only route inspected","Can inspect now?","Proof / sample checked","Durable IDs","Valuable fields for relationship spine","Known blocker / limitation","Recommended canonical use"
"Local/reference docs","Operating rules and source-of-truth context","read_file/search_files","Yes","AGENTS.md; tool_routing.md; AI Factory north star; business-operating-context.md; reference/tuesday/README.md; leads.md; source-of-truth reconciliation handover; schema SQL files","File path + line refs","Approval rules; source hierarchy; schema intent; transition rules","Docs can drift from live systems","Use as architecture/guardrail evidence only"
"Supabase / Tuesday","Forward structured spine for approved Tuesday-owned records","REST read-only count/select via Supabase client","Yes","funixetndgeffnsozhat.supabase.co checked 2026-06-29T04:10:58Z; counts: leads 162; orders 51; source_captures 530; extracted_nuggets 625; relationship_records 13","UUID primary keys; external IDs in link tables","Lead/order/customer/contact/source/event/evidence/payment/costing/sample fields","Service-role capable route is write-capable if misused; worker used only SELECT/count","Canonical relationship graph target after approval"
"Gmail","Communication evidence","/Users/mack-mini/.local/bin/hermes-gmail-readonly search|get|thread|latest-sent","Yes","Ruth search returned 0; Paul supplier/provenance sample returned 3; Gaynor/Earl issue sample returned 3","message id; threadId; labels; sender/recipient; subject; date","Questions; promises; signatures; attachments; sent proof; relationship context","Ruth had no Gmail match in tiny search; body reads should stay tiny/relevant","Evidence/touchpoints only; never canonical identity by itself"
"Google Drive","Document/spec/photo/sheet evidence","/Users/mack-mini/.local/bin/hermes-drive-readonly search|doc|sheet|export","Blocked","search Ruth Findlay and boardroom Ruth returned google_scope_missing","file id; folder id; title; mime type; modified time; URL if available","Specs; drawings; folders; photos; PDFs; supplier docs","Current Google token lacks Drive read scope; do not retry stale tokens","Add as evidence source once scope is fixed"
"Xero","Accounting authority","Local Xero read-only code + direct read-only OAuth/API check","Yes","Tenant Innate Furniture; org read succeeded; recent invoice sample 3 records: INV-1160/1170 paid; INV-1171 authorised","ContactID; InvoiceID; InvoiceNumber; QuoteID; payment IDs if exposed","Financial contacts; invoice/quote/payment status; line items; sentToContact; totals","Client credentials are powerful; keep exact writes behind approval; contact endpoint not exhaustively sampled","Xero is financial truth, not full relationship truth"
"Monday","Workshop/legacy production/customer-history source until migration gates","Read-only GraphQL board metadata + repo read-only guard","Yes","Mutation guard passed; board meta checked: Orders 18404972673 (41 items); Production Plan 7301377614 (122 items); Samples stock 18412532131 (9 items)","board id; item id; column id; update id where fetched","Production status; delivery location; invoice links; stock/sample status; legacy notes","Monday remains legacy/current for production/stock/customer history until gates met; no writes","Legacy evidence/sync partner during transition"
"Shopify / live website / configurator","Customer-facing product truth and intent capture","web_extract live pages + local Shopify/Tues code/docs","Partial","Live pages extracted: /pages/boardroom-tables; /pages/timber-panels; /pages/commercial-1; Shopify CLI available v4.2.0 but theme list timed out; docs state live theme 141308166203","Theme ID; page URL; product handle; variant ID; Shopify customer/order IDs if Admin readback available","Product/page truth; configurator/freight events; form/enquiry payloads; intent signals","No Shopify Admin customer/order read sampled in this task; CLI list timed out","Use live website/page URLs as product truth; use Shopify IDs when safely read"
"Freight/configurator events","Website-intent operational event stream","Supabase freight_quote_events SELECT","Yes","freight_quote_events count 58; recent rows include product_handle; variant_id; page_url; source; internal-test flag","event UUID; product_handle; variant_id; page_url; source; timestamp","Product interest; dimensions; destination; estimate; manual-check flags","Currently freight-heavy, not full generic relationship event capture","Intent/touchpoint evidence linked to parties/opportunities"
"Public web","Professional enrichment evidence","web_search/web_extract","Yes","Ruth Findlay search found LinkedIn; Autex; Abodo; extracted pages for LinkedIn, Autex Te Huruhi School, Abodo Te Huruhi School","URL; title; excerpt; captured_at","Role; company; project proof; public professional relevance","Search/extract can truncate; avoid private/unrelated data; confidence timestamp needed","Source-backed enrichment only"
"Local/Tues app code","Integration capability map","read_file/search_files/npm mutation guard","Yes","Read lib/leads, lib/monday, lib/xero, freight quote log, Tuesday readiness audit; npm run check:mutations passed","Repo path; env variable names; API route paths","Current routes and safety design","Code can include write paths; must distinguish read routes from write routes","Capability evidence for implementation planning"
